lon,lat,ast_id
-95.0251365761638,29.59662269375113,40
-95.02563113251686,29.596532304882185,40
-95.02497422807663,29.597394367196763,40
-95.02759220228914,29.60312101188933,40
-95.02502758939374,29.596539811382417,40
-95.0262392355912,29.596496546012144,40
-95.02501084400053,29.59724308682938,40
-95.0253732953754,29.596629079046412,40
-95.02569339501277,29.59652392755265,40
-95.02571726147882,29.596526890014385,40
-95.0251833216713,29.597304823695115,40
-95.02770439645357,29.60177944623022,40
-95.0249525826737,29.59749398840834,40
-95.0250603312264,29.597722408860786,40
-95.02498931837555,29.597814060490432,40
-95.02496087415714,29.596525462143642,40
-95.02496648487747,29.59655615970394,40
-95.02500420368182,29.597771651591593,40
-95.0281966668782,29.601467089230095,40
-95.02761500786703,29.602751893160757,40
-95.02496254535069,29.597221998697975,40
-95.02496674307093,29.597371475680898,40
-95.02523718180376,29.59660886957589,40
-95.02503453508922,29.604409144816575,40
-95.0249347410305,29.59681016527342,40
-95.05387430175135,29.61741856789222,52
-95.05496795686712,29.616108196401026,52
-95.05446614049352,29.616752321472053,52
-95.04841472316735,29.616352421079572,52
-95.04859286408838,29.616181957698846,52
-95.05296308959419,29.617562484930662,52
-95.05600454687959,29.616188035430145,52
-95.05557357224757,29.61286681899257,52
-95.054403866993,29.61677037577641,52
-95.05356556739613,29.61746618264936,52
-95.05433715484885,29.61674436790526,52
-95.05519610514239,29.61612785777445,52
-95.05591968131299,29.612869974219265,52
-95.05793456660064,29.615435042106462,52
-95.05584478273592,29.61282819349927,52
-95.05180629218614,29.614797580609316,52
-95.05188518510992,29.614809769983967,52
-95.05476103978172,29.61683844285398,52
-95.0483213314097,29.612894938115534,52
-95.05323714607631,29.617483850844426,52
-95.0542699529132,29.616822959061594,52
-95.05374254419968,29.61741635395473,52
-95.04840741323795,29.61643287938987,52
-95.05187438403573,29.61480120293408,52
-95.05177304158936,29.615381828967188,52
-95.05217108184644,29.61481622222794,53
-95.04778702649094,29.617059398841,53
-95.05167032852206,29.614850160957964,53
-95.05390204973823,29.617575342369314,53
-95.05142498863795,29.61881383711452,53
-95.0491118962487,29.616742530142673,53
-95.04786026443894,29.61285814474412,53
-95.0518466146186,29.615198900917537,53
-95.05492527280786,29.616558380170474,53
-95.05602453331596,29.61610439217348,53
-95.05218073567694,29.61479345042757,53
-95.05188146919653,29.614846225433702,53
-95.04420801978472,29.610836872136648,53
-95.0568296173016,29.61613594170358,53
-95.04967685744856,29.616741445397647,53
-95.04960950252318,29.616834062047232,53
-95.04885691323251,29.613525436706123,53
-95.04690063533255,29.612835579489385,53
-95.05225496493348,29.614841751634543,53
-95.05471874428679,29.6167451089093,53
-95.04679754998763,29.61283093117635,53
-95.04894957626617,29.61408074338866,53
-95.04843408042444,29.61671350122775,53
-95.05184524253471,29.614809499011038,53
-95.05090392760697,29.618117864342995,53
-95.05580589774668,29.61608736494386,54
-95.05642233531312,29.616177191566518,54
-95.05958332476536,29.6122818441732,54
-95.05826784857149,29.615464802857538,54
-95.05958950762846,29.612667632015157,54
-95.05957941632295,29.61250156132159,54
-95.05764492096385,29.615466596539427,54
-95.05957542196904,29.612855063558243,54
-95.05998328615928,29.612187157788117,54
-95.0595649338822,29.61276462558664,54
-95.05971974383175,29.61543757009406,54
-95.05886059318816,29.615550306800063,54
-95.05966208022384,29.612657486528278,54
-95.05872672368614,29.615518475890916,54
-95.06085455939487,29.610375658857276,54
-95.06140838825547,29.613496279911548,54
-95.06008563234715,29.61218324839532,54
-95.0576234563589,29.615468840594087,54
-95.06084762922545,29.610644369155814,54
-95.0576935844001,29.615526595044567,54
-95.06010906964713,29.612198005180172,54
-95.0596089905084,29.614268943772625,54
-95.05963130307818,29.612291195545197,54
-95.05992727786868,29.61219315573263,54
-95.06085786295321,29.6102239681794,54
-95.0516391999693,29.618830457466277,61
-95.05685255715679,29.61299101897477,61
-95.056838535109,29.612885867675544,61
-95.05570442166598,29.612866758950137,61
-95.05894506388294,29.61543812008979,61
-95.05676706309211,29.612918509109054,61
-95.04702719950636,29.61289856921881,61
-95.05683511074476,29.612850098360326,61
-95.05871567184047,29.615599630421638,61
-95.05970287962629,29.61543570395729,61
-95.06045171822359,29.6128454820839,61
-95.05505708417584,29.616095038781054,61
-95.05557480203223,29.61284651482444,61
-95.05686406764615,29.61288762381525,61
-95.05961298353353,29.61546345652529,61
-95.05781126861339,29.615563007098473,61
-95.05598553894006,29.616142300103004,61
-95.05217973070754,29.614831409407227,61
-95.06089048145411,29.61035706383456,61
-95.05955717301299,29.613184446249697,61
-95.05558520658595,29.612892776729506,61
-95.0567143759537,29.61289345492558,61
-95.0567399873246,29.61339861237924,61
-95.05640657755404,29.612850167616642,61
-95.05465223073587,29.616762389723444,61
-95.05859140904205,29.615512765273944,64
-95.05950152966432,29.613289829888664,64
-95.05657086698469,29.612848533625762,64
-95.06056069748387,29.60951853084047,64
-95.05626422988239,29.612872820584627,64
-95.05687110783578,29.612996350398813,64
-95.05657868004785,29.612857091356492,64
-95.05662428555748,29.61611271269271,64
-95.05644480273178,29.6129648772197,64
-95.05510245363413,29.61623861054829,64
-95.06014418452376,29.6092957456619,64
-95.05958645826517,29.613259127955576,64
-95.05499138699614,29.616139728714312,64
-95.05630765114945,29.612876288354204,64
-95.06214749957343,29.612888304704676,64
-95.05296803283534,29.617831357434152,64
-95.0593489631468,29.615446554408265,64
-95.0522619348481,29.61481767615958,64
-95.05960957502505,29.615451443254504,64
-95.05967398075978,29.61280817857517,64
-95.05884094795958,29.615640237331895,64
-95.05492201046424,29.616593328635535,64
-95.05353481488702,29.617482411127398,64
-95.05685421093047,29.613264926012413,64
-95.05968720346452,29.612217195823657,64
-95.05759491308903,29.616041023556964,65
-95.04966143585058,29.617265717932558,65
-95.05639379285867,29.61611357951829,65
-95.05963435201582,29.612196685048858,65
-95.05460542221346,29.616740745764044,65
-95.05876494941221,29.615499821401606,65
-95.05568690799,29.61611457777921,65
-95.05954667596694,29.612665412074517,65
-95.05574748999028,29.61285537450511,65
-95.05949460742835,29.615473851221804,65
-95.05859850177539,29.615485716299784,65
-95.05558663178135,29.613266496929043,65
-95.05748024516049,29.61616755597093,65
-95.0566165502762,29.612826953863213,65
-95.05560973926607,29.613166322522204,65
